2024-07-25 15:22:40.728 [info] update#setState idle
2024-07-25 15:23:10.738 [info] update#setState checking for updates
2024-07-25 15:23:10.890 [info] update#setState idle
2024-07-25 15:23:19.365 [info] Extension host with pid 75584 exited with code: 0, signal: unknown.
2024-07-25 15:23:51.285 [info] Extension host with pid 75990 exited with code: 0, signal: unknown.
2024-07-25 15:28:56.720 [info] Extension host with pid 76724 exited with code: 0, signal: unknown.
2024-07-25 15:28:57.721 [error] Extension host with pid 76724 still exists, forcefully killing it...
2024-07-25 15:28:57.970 [info] Extension host with pid 76796 exited with code: 0, signal: unknown.
2024-07-25 15:28:58.973 [error] Extension host with pid 76796 still exists, forcefully killing it...
2024-07-25 15:29:08.079 [info] Extension host with pid 76867 exited with code: 0, signal: unknown.
2024-07-25 15:29:28.567 [info] Extension host with pid 76914 exited with code: 0, signal: unknown.
2024-07-25 15:29:33.689 [info] Extension host with pid 76954 exited with code: 0, signal: unknown.
2024-07-25 15:31:18.141 [info] Extension host with pid 77043 exited with code: 0, signal: unknown.
2024-07-25 15:31:19.145 [error] Extension host with pid 77043 still exists, forcefully killing it...
2024-07-25 15:49:58.050 [info] Extension host with pid 76094 exited with code: 0, signal: unknown.
